YEAR,MONTH,DAY,RAINFALL,TMAX,TMIN,RH
2021,7,19,3,33.2,26.2,76
2021,7,20,0,33.7,27.8,69
2021,7,21,0,34.7,28.4,69
2021,7,22,-1,34,25.6,68
2021,7,23,1.2,32.3,27.2,68
2021,7,24,-1,33.2,27.2,69
2021,7,25,0,33.9,25.6,70
2021,7,26,-1,33.6,26.7,69
2021,7,27,1,32.6,27.4,73
2021,7,28,0,34,27.1,73
2021,7,29,0,34.6,26.6,72
2021,7,30,0,34.2,26.5,66
2021,7,31,0,34,26.8,71
2021,8,1,0,34,26.8,68
2021,8,2,3,34.1,25.6,69
2021,8,3,0,33.3,27.7,70
2021,8,4,0,33.8,26.8,70
2021,8,5,0,34.4,26.7,72
2021,8,6,0,34.1,26.5,70
2021,8,7,0,34.1,26.6,72
2021,8,8,13,31.4,25.1,84
2021,8,9,2.8,28.7,24.4,88
2021,8,10,0,32.1,24.4,82
2021,8,11,-1,34,26.4,74
2021,8,12,0,34.4,26.2,75
2021,8,13,4.4,34.2,24.4,75
2021,8,14,2.4,32.2,24.2,84
2021,8,15,0,32.6,25.6,78
2021,8,16,-1,33.9,26.6,74
2021,8,17,5.2,33.2,26.1,75
2021,8,18,2,33.8,26.1,84
2021,8,19,1,32.7,25.4,80
2021,8,20,20.3,30.8,24.4,80
2021,8,21,0,32.3,25.3,84
2021,8,22,4,32.6,24.8,84
2021,8,23,53.6,32.6,23.3,78
2021,8,24,2.2,29,23.5,88
2021,8,25,2,31.8,24.7,85
2021,8,26,4.4,30,24.6,86
2021,8,27,13.4,32.4,25.2,79
2021,8,28,5.2,28.3,23.8,88
2021,8,29,0.2,31.5,25,82
2021,8,30,-1,32.5,25.4,77
2021,8,31,4.2,32.8,25.6,74
2021,9,1,0.2,30.5,25.2,85
2021,9,2,0,33,24.6,82
2021,9,3,15.2,32.7,24.6,79
2021,9,4,6.2,32.7,25.2,83
2021,9,5,0.2,31,25.4,85
2021,9,6,27.5,30.6,24.7,86
2021,9,7,0.8,30.3,25.2,84
2021,9,8,0,32.4,26.4,74
2021,9,9,1.3,31,25.6,76
2021,9,10,0,31.6,25.2,78
2021,9,11,0,31.7,25.6,79
2021,9,12,4.4,33.4,24.9,77
2021,9,13,16,32.1,24.6,79
2021,9,14,6.1,29.8,24.2,86
2021,9,15,3,32.6,24.2,76
2021,9,16,10.2,30.8,23.4,91
2021,9,17,-1,31.4,25.1,81
2021,9,18,0,32.5,25,81
2021,9,19,5.4,31,25.1,80
2021,9,20,7,28.8,24.3,88
2021,9,21,-1,32.1,25.6,78
2021,9,22,0,32.2,25.9,80
2021,9,23,0.4,32.1,25.8,79
2021,9,24,0,32.7,26.2,77
2021,9,25,3.2,32.8,25.2,76
2021,9,26,0,33.6,24.6,82
2021,9,27,0,32.9,25.8,74
2021,9,28,5,33.6,25.6,76
2021,9,29,0,33.4,26,78
2021,9,30,12.3,35,25.4,82
2021,10,1,1.5,33.2,25.4,86
2021,10,2,0.4,33,25,82
2021,10,3,74.2,32.4,24.2,82
2021,10,4,10.2,29,25,88
2021,10,5,15.2,30.2,24.4,86
2021,10,6,0,32.2,25.5,80
2021,10,7,0,32.6,26.2,82
2021,10,8,6.7,29.1,24.8,87
2021,10,9,5.4,28.9,24.9,88
2021,10,10,-1,31,27.3,78
2021,10,11,2.1,31.4,25,78
2021,10,12,0,32.1,26.3,81
2021,10,13,0,33.3,26.6,73
2021,10,14,2,31.2,26,83
2021,10,15,4.1,29,24.2,88
2021,10,16,0,32.6,25.1,80
2021,10,17,-1,33,26.6,76
2021,10,18,-1,32.6,26.6,77
2021,10,19,0.8,33.1,25.6,81
2021,10,20,-1,31.5,25.6,81
2021,10,21,0,32.3,25.9,79
2021,10,22,51.6,31.3,24.2,86
2021,10,23,15.4,30,24.1,89
2021,10,24,0,31.8,25.7,81
2021,10,25,-1,32.4,25.6,78
2021,10,26,7.2,31.9,25.2,80
2021,10,27,2,31.6,25.5,81
2021,10,28,1,30.9,25,80
2021,10,29,-1,31.9,25.4,78
2021,10,30,0.8,31.9,25.9,77
2021,10,31,1.8,29.1,24.5,88
2021,11,1,2,32.3,25.8,77
2021,11,2,6.1,29,25.2,84
2021,11,3,-1,32.1,25.6,79
2021,11,4,16.2,33.2,25.4,82
2021,11,5,0,32,25.8,83
2021,11,6,3.4,32.4,25,76
2021,11,7,5.8,31.8,26.4,80
2021,11,8,0,32.3,27,76
2021,11,9,3,30.9,25.6,87
2021,11,10,0,32.3,26.2,80
2021,11,11,1.8,32.4,25.4,81
2021,11,12,2.5,32.5,25.3,79
2021,11,13,17.6,32,25.1,84
2021,11,14,0,32,26.2,80
2021,11,15,40.7,32.7,25.3,81
2021,11,16,0,31.5,26,85
2021,11,17,9.4,31.1,25.7,79
2021,11,18,0,32.4,24.2,78
2021,11,19,0,32.5,25.3,79
2021,11,20,9,32.9,24.9,80
2021,11,21,8.6,31.9,25.4,83
2021,11,22,0,32.4,26.4,81
2021,11,23,0,31.8,26.9,72
2021,11,24,1.2,31.6,25.9,78
2021,11,25,2.2,31.8,24.8,83
2021,11,26,15.1,31.5,25.4,80
2021,11,27,0.4,30.6,25.5,83
2021,11,28,1,31.3,25.3,83
2021,11,29,0,32.2,24.9,77
2021,11,30,0.4,31.9,25.7,79
2021,12,1,0,32,24.6,81
2021,12,2,0,32.4,25,75
2021,12,3,-1,29.8,24.3,77
2021,12,4,0,31.1,24.2,71
2021,12,5,0,30.9,23.6,74
2021,12,6,0,30.8,25.5,73
2021,12,7,6.4,31.2,24.9,78
2021,12,8,7.8,31.7,25.3,81
2021,12,9,0.6,28.1,25.8,82
2021,12,10,62.7,28.2,24.8,88
2021,12,11,0,30.4,25.9,84
2021,12,12,0,31.6,25.5,79
2021,12,13,3.5,31.1,25.3,78
2021,12,14,0,31,24.7,77
2021,12,15,1.8,30.7,25.1,78
